table with row headers in column B and column headers in rows 3 through 4 (leading dots indicate sub-parts),,,,
404,"Duluth city, Minnesota","86,718","86,584","86,619"
405,"Georgetown city, Texas","68,293","75,620","86,507"
406,"Melbourne city, Florida","85,047","86,008","86,441"
407,"Citrus Heights city, California","87,521","87,111","86,433"
408,"San Ramon city, California","86,616","87,023","85,953"
409,"Lake Forest city, California","85,848","85,631","85,638"
410,"Medford city, Oregon","85,975","86,634","85,556"
411,"Sioux City city, Iowa","85,762","85,833","85,497"
412,"North Port city, Florida","75,487","79,795","85,099"
413,"Auburn city, Washington","87,059","85,853","84,858"
414,"Kennewick city, Washington","83,981","84,698","84,750"
415,"Livermore city, California","87,880","86,388","84,701"
416,"Hawthorne city, California","87,804","86,010","84,563"
417,"Whittier city, California","87,006","85,330","84,496"
418,"Lehi city, Utah","76,837","79,917","84,373"
419,"Baytown city, Texas","85,366","84,312","84,324"
420,"Westland city, Michigan","85,196","84,678","84,037"
421,"Newport Beach city, California","85,208","84,713","83,993"
422,"South Jordan city, Utah","77,950","80,102","83,513"
423,"Brooklyn Park city, Minnesota","86,206","84,467","83,324"
424,"Folsom city, California","80,749","81,687","83,269"
425,"Warwick city, Rhode Island","82,845","83,028","83,016"
426,"Farmington Hills city, Michigan","83,774","83,368","82,737"
427,"Gastonia city, North Carolina","80,524","81,359","82,653"
428,"Layton city, Utah","82,046","83,417","82,601"
429,"Longview city, Texas","81,641","81,553","82,531"
430,"Largo city, Florida","82,484","82,437","82,487"
431,"Johns Creek city, Georgia","82,575","82,183","82,453"
432,"Buena Park city, California","83,862","82,951","82,450"
433,"Cranston city, Rhode Island","82,824","82,598","82,421"
434,"New Rochelle city, New York","80,192","81,389","82,288"
435,"Warner Robins city, Georgia","80,567","81,566","82,175"
435,"Frederick city, Maryland","78,352","79,889","82,175"
437,"Cicero town, Illinois","84,928","83,313","81,919"
438,"Homestead city, Florida","80,510","80,707","81,562"
439,"Mountain View city, California","82,430","81,675","81,059"
440,"Boynton Beach city, Florida","80,652","80,244","80,859"
441,"Rancho Cordova city, California","79,503","80,210","80,598"
442,"Redwood City city, California","84,131","81,522","80,512"
443,"Perris city, California","78,861","79,825","80,263"
444,"Alhambra city, California","82,657","81,168","80,259"
445,"Castle Rock town, Colorado","73,881","76,652","80,191"
446,"Pharr city, Texas","79,821","79,675","80,179"
447,"Miami Beach city, Florida","82,458","80,882","80,017"
448,"Auburn city, Alabama","76,624","78,887","80,006"
449,"Kissimmee city, Florida","79,202","79,579","80,003"
450,"Jonesboro city, Arkansas","78,852","78,862","79,876"
451,"Flint city, Michigan","81,108","80,586","79,854"
452,"Somerville city, Massachusetts","80,814","80,018","79,762"
453,"Parma city, Ohio","80,949","80,154","79,358"
454,"Pasco city, Washington","77,452","78,541","79,315"
455,"Lynchburg city, Virginia","78,973","79,118","79,287"
456,"Lake Charles city, Louisiana","84,873","80,521","79,113"
457,"Bloomington city, Indiana","79,062","79,342","79,107"
458,"Lakewood city, California","82,213","80,473","79,063"
459,"Bloomington city, Illinois","78,682","78,848","78,864"
460,"Upland city, California","79,120","79,265","78,841"
461,"Rapid City city, South Dakota","74,924","76,723","78,824"
462,"Plymouth city, Minnesota","80,945","79,820","78,683"
463,"Woodbury city, Minnesota","75,472","77,094","78,561"
464,"Flower Mound town, Texas","76,472","77,532","78,486"
465,"Tustin city, California","79,896","79,346","78,418"
466,"Napa city, California","79,039","78,855","78,315"
467,"Daytona Beach city, Florida","72,274","75,323","77,958"
468,"Chino Hills city, California","78,468","78,579","77,949"
469,"Loveland city, Colorado","76,362","77,002","77,884"
470,"Milpitas city, California","80,127","78,218","77,738"
471,"Cedar Park city, Texas","78,012","78,863","77,642"
472,"Bethlehem city, Pennsylvania","75,697","77,910","77,617"
473,"Pittsburg city, California","76,605","76,662","77,572"
474,"Doral city, Florida","76,207","76,167","76,983"
475,"Missoula city, Montana","74,394","75,373","76,955"
476,"Redmond city, Washington","73,348","76,463","76,732"
477,"Wyoming city, Michigan","76,755","76,853","76,726"
478,"Mansfield city, Texas","72,757","74,429","76,724"
479,"Pleasanton city, California","79,676","77,904","76,689"
480,"Hammond city, Indiana","77,759","77,204","76,575"
481,"Missouri City city, Texas","74,425","75,047","76,500"
482,"Racine city, Wisconsin","77,685","77,079","76,462"
483,"Bellflower city, California","78,975","77,411","76,405"
484,"Schaumburg village, Illinois","78,443","77,165","76,225"
485,"Broomfield city, Colorado","74,484","75,375","76,121"
486,"Alameda city, California","78,044","76,246","76,040"
487,"Rochester Hills city, Michigan","76,119","76,063","75,936"
488,"Flagstaff city, Arizona","77,090","74,729","75,907"
489,"Apple Valley town, California","75,874","76,158","75,867"
490,"Scranton city, Pennsylvania","76,172","76,141","75,848"
491,"Evanston city, Illinois","77,857","76,686","75,544"
492,"Southfield city, Michigan","76,381","75,914","75,431"
493,"Rock Hill city, South Carolina","74,690","74,743","75,349"
494,"Iowa City city, Iowa","74,908","75,172","75,233"
495,"Arlington Heights village, Illinois","77,447","76,153","75,195"
496,"Pawtucket city, Rhode Island","75,480","75,277","75,066"
497,"Bowling Green city, Kentucky","72,456","73,149","74,926"
498,"Lakeville city, Minnesota","70,023","72,751","74,553"
499,"Appleton city, Wisconsin","75,707","74,856","74,511"
500,"Bismarck city, North Dakota","73,737","74,083","74,445"
501,"New Britain city, Connecticut","73,974","74,581","74,396"
502,"Leander city, Texas","60,848","67,093","74,375"
503,"Bolingbrook village, Illinois","73,818","73,668","74,031"
504,"Rocklin city, California","71,861","73,082","73,857"
505,"Redlands city, California","73,257","73,538","73,849"
506,"Lauderhill city, Florida","74,312","73,605","73,633"
507,"Rogers city, Arkansas","70,342","71,436","72,999"
508,"Kalamazoo city, Michigan","73,502","72,343","72,873"
509,"Noblesville city, Indiana","69,909","71,155","72,748"
510,"Johnson City city, Tennessee","71,118","71,188","72,514"
511,"Greenville city, South Carolina","71,031","72,286","72,310"
512,"Turlock city, California","72,694","72,216","72,309"
513,"Marysville city, Washington","70,972","71,363","72,275"
514,"Gulfport city, Mississippi","72,872","72,220","72,236"
515,"Ankeny city, Iowa","68,363","70,452","72,222"
516,"Dublin city, California","72,524","71,516","72,060"
517,"Tamarac city, Florida","71,906","71,706","71,912"
518,"Lake Elsinore city, California","70,333","71,505","71,898"
519,"Blaine city, Minnesota","70,466","71,008","71,739"
520,"Mount Vernon city, New York","73,552","72,801","71,714"
521,"Harlingen city, Texas","71,874","72,095","71,678"
522,"Wilmington city, Delaware","70,847","70,823","71,569"
523,"Lafayette city, Indiana","70,738","70,902","71,402"
524,"Dothan city, Alabama","71,081","71,033","71,235"
525,"St. Charles city, Missouri","70,738","71,048","71,184"
526,"Apex town, North Carolina","65,355","68,368","71,065"
527,"Eastvale city, California","69,966","71,341","71,024"
528,"Camden city, New Jersey","71,741","71,558","70,996"
529,"Framingham city, Massachusetts","72,136","71,289","70,963"
530,"West Des Moines city, Iowa","68,912","69,886","70,741"
531,"Queen Creek town, Arizona","60,895","66,318","70,734"
532,"Tulare city, California","69,255","70,788","70,693"
533,"North Richland Hills city, Texas","70,286","70,259","70,663"
534,"St. Joseph city, Missouri","72,141","71,411","70,656"
535,"Maple Grove city, Minnesota","70,289","70,606","70,582"
536,"Waukesha city, Wisconsin","71,177","70,723","70,454"
537,"Jacksonville city, North Carolina","72,642","70,631","70,420"
538,"San Marcos city, Texas","68,128","69,215","70,301"
539,"Camarillo city, California","70,830","70,904","70,282"
540,"Eau Claire city, Wisconsin","69,497","69,106","69,737"
541,"Canton city, Ohio","70,696","70,227","69,671"
542,"St. Cloud city, Minnesota","68,866","69,051","69,568"
543,"Bayonne city, New Jersey","71,601","69,446","69,527"
544,"Baldwin Park city, California","71,971","70,561","69,455"
545,"Shawnee city, Kansas","67,439","67,667","69,198"
546,"Passaic city, New Jersey","70,325","69,744","69,128"
547,"Decatur city, Illinois","70,717","69,919","69,097"
548,"Yuba City city, California","69,949","69,505","69,014"
549,"Walnut Creek city, California","70,039","69,863","68,969"
550,"Gaithersburg city, Maryland","69,496","69,175","68,952"
551,"Redondo Beach city, California","71,333","69,898","68,918"
552,"Schenectady city, New York","68,361","68,992","68,809"
553,"East Orange city, New Jersey","69,374","68,889","68,446"
554,"Portland city, Maine","68,492","68,484","68,424"
555,"Jackson city, Tennessee","68,203","67,908","68,380"
556,"Madera city, California","66,461","67,865","68,050"
557,"Grand Junction city, Colorado","65,685","66,820","68,034"
558,"Gary city, Indiana","69,002","68,529","67,972"
559,"Idaho Falls city, Idaho","65,885","67,147","67,723"
560,"Weston city, Florida","67,998","67,477","67,677"
561,"Conway city, Arkansas","64,345","65,965","67,617"
562,"Eagan city, Minnesota","68,736","68,720","67,534"
563,"Alpharetta city, Georgia","65,960","66,221","67,267"
564,"Lodi city, California","66,443","67,023","67,258"
565,"Albany city, Georgia","69,102","66,314","67,192"
566,"Haverhill city, Massachusetts","67,668","67,399","67,153"
567,"Yorba Linda city, California","68,330","67,925","67,089"
568,"Davis city, California","66,760","67,066","67,048"
569,"Union City city, California","69,985","68,363","67,039"
570,"Delray Beach city, Florida","66,809","66,653","67,030"
571,"Ames city, Iowa","66,481","67,005","66,950"
572,"Rockville city, Maryland","67,354","67,234","66,924"
573,"Waterloo city, Iowa","67,269","66,912","66,562"
574,"Novi city, Michigan","66,154","66,581","66,372"
575,"Maricopa city, Arizona","58,851","62,446","66,290"
576,"Brentwood city, California","64,463","64,931","66,127"
577,"Commerce City city, Colorado","62,776","64,423","66,115"
578,"Palo Alto city, California","68,385","66,735","66,010"
579,"Oshkosh city, Wisconsin","66,770","65,377","65,948"
580,"Caldwell city, Idaho","60,645","63,881","65,920"
581,"Janesville city, Wisconsin","65,667","65,851","65,911"
582,"Sammamish city, Washington","67,440","66,725","65,845"
583,"Pflugerville city, Texas","65,484","66,481","65,556"
584,"Skokie village, Illinois","67,711","66,526","65,497"
585,"Palatine village, Illinois","67,696","66,505","65,485"
586,"Ocala city, Florida","63,793","64,286","65,478"
587,"Greenwood city, Indiana","63,980","64,897","65,406"
588,"Medford city, Massachusetts","60,414","62,163","65,399"
589,"Victoria city, Texas","65,521","65,185","65,372"
590,"Union City city, New Jersey","68,130","65,848","65,366"
591,"Lorain city, Ohio","65,224","65,343","65,365"
592,"Rowlett city, Texas","62,776","63,762","65,113"
593,"Muncie city, Indiana","65,099","65,150","65,076"
594,"Port Orange city, Florida","62,728","63,279","64,870"
595,"Malden city, Massachusetts","66,011","65,136","64,712"
596,"North Little Rock city, Arkansas","64,660","64,169","64,627"
597,"Cheyenne city, Wyoming","65,220","65,066","64,610"
598,"St. Cloud city, Florida","59,419","62,128","64,489"
599,"Lynwood city, California","66,815","64,824","64,086"
600,"Utica city, New York","65,160","64,597","64,081"
601,"Waltham city, Massachusetts","65,046","64,393","64,065"
602,"Kenner city, Louisiana","66,298","65,397","64,007"
603,"Burnsville city, Minnesota","64,512","64,029","63,936"
604,"Laguna Niguel city, California","64,226","64,140","63,742"
605,"South San Francisco city, California","66,124","64,361","63,484"
606,"San Clemente city, California","64,257","63,842","63,457"
607,"Moore city, Oklahoma","63,047","63,070","63,223"
608,"Sanford city, Florida","61,096","61,090","63,154"
609,"Huntersville town, North Carolina","61,572","61,909","63,035"
610,"Millcreek city, Utah","63,668","64,228","63,034"
611,"Bellevue city, Nebraska","64,322","63,885","63,015"
612,"Porterville city, California","62,666","62,788","62,998"
613,"Hamilton city, Ohio","63,404","63,088","62,937"
614,"Hendersonville city, Tennessee","62,114","62,392","62,896"
615,"Richland city, Washington","60,878","62,115","62,821"
616,"Coon Rapids city, Minnesota","63,581","63,472","62,785"
617,"Bossier City city, Louisiana","62,703","62,960","62,635"
618,"Marietta city, Georgia","61,026","61,386","62,602"
619,"Lakewood city, Washington","63,612","63,429","62,572"
620,"Eden Prairie city, Minnesota","64,172","63,105","62,476"
621,"Council Bluffs city, Iowa","62,789","62,592","62,405"
622,"Taylor city, Michigan","63,223","62,709","62,258"
623,"Chapel Hill town, North Carolina","56,624","61,295","62,098"
624,"Dearborn Heights city, Michigan","63,116","62,584","61,980"
625,"La Habra city, California","63,096","62,599","61,978"
626,"Pontiac city, Michigan","61,821","62,086","61,854"
627,"Santa Cruz city, California","62,885","54,941","61,800"
628,"Woodland city, California","61,051","61,538","61,462"
629,"Wellington village, Florida","61,575","61,349","61,438"
630,"Springfield city, Oregon","61,834","61,866","61,400"
631,"Encinitas city, California","61,988","61,768","61,369"
632,"Bristol city, Connecticut","60,776","61,138","61,330"
633,"Parker town, Colorado","58,878","60,488","61,222"
634,"Jupiter town, Florida","61,115","61,065","61,126"
635,"Stonecrest city, Georgia","59,265","59,998","61,087"
636,"Corvallis city, Oregon","59,934","60,263","60,956"
637,"Wylie city, Texas","57,888","59,461","60,943"
638,"Montebello city, California","62,410","61,125","60,569"
639,"Vineland city, New Jersey","60,631","60,563","60,491"
640,"Great Falls city, Montana","60,431","60,347","60,382"
641,"La Mesa city, California","61,070","60,733","60,360"
642,"Meriden city, Connecticut","60,619","60,437","60,242"
643,"Palm Beach Gardens city, Florida","59,237","59,529","60,175"
644,"Euless city, Texas","61,073","60,521","60,169"
645,"Owensboro city, Kentucky","60,238","60,035","60,037"
646,"Casa Grande city, Arizona","54,119","57,400","60,032"
647,"San Rafael city, California","61,130","60,814","59,971"
648,"Taunton city, Massachusetts","59,470","59,701","59,922"
649,"Madison city, Alabama","57,294","58,328","59,785"
650,"Pico Rivera city, California","61,890","60,696","59,781"
651,"Shoreline city, Washington","58,805","58,081","59,690"
652,"Kokomo city, Indiana","59,573","59,657","59,671"
653,"Blue Springs city, Missouri","58,770","59,460","59,518"
654,"White Plains city, New York","59,441","59,551","59,316"
655,"Burlington city, North Carolina","57,589","58,756","59,287"
656,"Herriman city, Utah","56,210","58,155","59,179"
657,"Youngstown city, Ohio","59,896","59,175","59,144"
658,"Santee city, California","59,952","59,296","59,051"
659,"West Allis city, Wisconsin","60,252","59,496","58,950"
660,"Lake Havasu City city, Arizona","57,369","58,181","58,926"
661,"North Miami city, Florida","59,839","59,063","58,906"
662,"Dubuque city, Iowa","59,642","59,251","58,873"
663,"Gardena city, California","60,875","59,721","58,843"
664,"Grand Forks city, North Dakota","59,140","58,676","58,692"
665,"Petaluma city, California","59,776","59,589","58,652"
666,"Lenexa city, Kansas","57,547","58,530","58,617"
667,"Des Plaines city, Illinois","60,482","59,495","58,594"
668,"Monterey Park city, California","60,891","59,586","58,554"
669,"Lacey city, Washington","56,619","57,167","58,552"
670,"Casper city, Wyoming","59,299","58,763","58,543"
671,"Revere city, Massachusetts","61,867","59,517","58,528"
672,"St. Peters city, Missouri","57,703","58,215","58,523"
673,"Hanford city, California","58,098","58,468","58,470"
674,"Terre Haute city, Indiana","58,387","58,346","58,335"
675,"Hempstead village, New York","58,855","58,691","58,331"
676,"Margate city, Florida","58,599","58,127","58,209"
677,"Carson City, Nevada","58,683","58,796","58,130"
678,"Springfield city, Ohio","58,590","58,533","58,106"
679,"Gilroy city, California","59,383","58,115","58,005"
680,"Midwest City city, Oklahoma","58,461","58,146","57,950"
681,"Brookhaven city, Georgia","56,807","57,074","57,934"
682,"Decatur city, Alabama","57,757","57,605","57,922"
683,"Taylorsville city, Utah","60,367","59,251","57,879"
684,"Bentonville city, Arkansas","54,808","56,936","57,868"
685,"Cupertino city, California","60,157","58,578","57,856"
686,"St. Clair Shores city, Michigan","58,725","58,247","57,742"
687,"Pocatello city, Idaho","56,433","57,242","57,730"
688,"Hoboken city, New Jersey","59,912","58,165","57,703"
689,"Orland Park village, Illinois","58,567","57,982","57,511"
690,"Royal Oak city, Michigan","58,023","57,826","57,495"
691,"Kyle city, Texas","46,442","51,838","57,470"
692,"Lancaster city, Pennsylvania","57,937","57,646","57,453"
693,"Weymouth Town city, Massachusetts","57,461","57,655","57,410"
694,"Sarasota city, Florida","55,182","56,160","57,376"
695,"Coconut Creek city, Florida","57,722","57,248","57,348"
696,"Bowie city, Maryland","58,234","57,724","57,192"
697,"Kettering city, Ohio","57,823","57,557","57,027"
698,"Apopka city, Florida","54,903","55,616","57,017"
699,"Bradenton city, Florida","55,812","56,309","56,961"
700,"Albany city, Oregon","56,670","56,932","56,891"
701,"Bartlett city, Tennessee","57,759","57,395","56,798"
702,"Coeur d'Alene city, Idaho","54,938","56,145","56,733"
703,"Highland city, California","57,034","57,115","56,705"
704,"Smyrna town, Tennessee","53,489","55,525","56,516"
705,"Bonita Springs city, Florida","53,852","54,852","56,370"
706,"Southaven city, Mississippi","54,841","55,565","56,360"
707,"Beaumont city, California","53,523","55,271","56,349"
708,"Oak Lawn village, Illinois","58,169","57,158","56,286"
709,"Smyrna city, Georgia","55,867","56,009","56,160"
710,"Kingsport city, Tennessee","55,413","55,603","56,150"
711,"Bozeman city, Montana","53,611","55,146","56,123"
712,"New Brunswick city, New Jersey","55,289","56,299","55,998"
713,"DeSoto city, Texas","56,078","55,760","55,968"
714,"Marana town, Arizona","52,612","54,672","55,962"
715,"Fountain Valley city, California","56,967","56,440","55,930"
716,"Spring Hill city, Tennessee","51,299","54,122","55,800"
717,"Tigard city, Oregon","55,015","55,896","55,762"
718,"Olympia city, Washington","55,607","55,950","55,669"
719,"Texas City city, Texas","52,271","54,283","55,667"
720,"Port Arthur city, Texas","56,000","56,137","55,579"
721,"National City city, California","56,115","55,927","55,550"
722,"San Jacinto city, California","54,064","55,287","55,470"
723,"Kannapolis city, North Carolina","53,442","54,499","55,448"
724,"Apple Valley city, Minnesota","56,267","55,860","55,416"
725,"Perth Amboy city, New Jersey","55,382","55,462","55,357"
725,"Little Elm city, Texas","47,194","51,238","55,357"
727,"Anderson city, Indiana","54,749","54,922","55,099"
728,"Valdosta city, Georgia","55,415","55,168","55,074"
729,"West Sacramento city, California","53,914","53,983","55,064"
730,"Winter Haven city, Florida","50,595","52,711","55,024"
731,"Berwyn city, Illinois","57,012","55,935","55,021"
732,"West Haven city, Connecticut","55,432","55,176","55,004"
733,"Chicopee city, Massachusetts","55,443","55,228","54,980"
734,"Arcadia city, California","56,466","55,334","54,857"
735,"Mount Prospect village, Illinois","56,711","55,691","54,843"
736,"Logan city, Utah","52,808","54,434","54,680"
737,"Westfield city, Indiana","46,998","50,702","54,605"
738,"Plainfield city, New Jersey","54,344","55,006","54,513"
739,"Yucaipa city, California","54,586","54,713","54,420"
740,"Twin Falls city, Idaho","52,079","53,497","54,300"
741,"Tinley Park village, Illinois","55,837","54,991","54,287"
742,"Eagle Mountain city, Utah","44,609","49,657","54,149"
743,"Kentwood city, Michigan","54,274","54,197","54,077"
744,"Rocky Mount city, North Carolina","54,312","53,941","54,013"
745,"Colton city, California","53,970","54,272","53,918"
746,"Peabody city, Massachusetts","54,388","54,140","53,896"
747,"Pensacola city, Florida","54,468","53,963","53,876"
748,"Manhattan city, Kansas","54,144","54,406","53,829"
749,"Elkhart city, Indiana","53,857","53,871","53,801"
750,"Pinellas Park city, Florida","53,372","53,304","53,653"
751,"Burleson city, Texas","47,991","51,493","53,381"
752,"Methuen Town city, Massachusetts","52,985","52,882","53,241"
753,"Galveston city, Texas","53,651","53,348","53,089"
754,"Wheaton city, Illinois","53,800","53,412","52,984"
755,"Elyria city, Ohio","52,676","52,778","52,908"
756,"Diamond Bar city, California","54,896","53,763","52,855"
757,"Normal town, Illinois","52,749","52,821","52,838"
758,"Mooresville town, North Carolina","50,502","51,695","52,656"
759,"Huntington Park city, California","54,712","53,584","52,633"
760,"Oak Park village, Illinois","54,396","53,360","52,553"
761,"Minnetonka city, Minnesota","54,083","53,200","52,544"
762,"Lincoln city, California","49,817","50,658","52,534"
763,"Joplin city, Missouri","51,800","51,957","52,518"
764,"Grand Island city, Nebraska","53,017","52,473","52,513"
765,"Cathedral City city, California","51,569","52,230","52,494"
766,"Edina city, Minnesota","53,367","53,339","52,437"
767,"Dunwoody city, Georgia","51,614","51,025","52,201"
768,"Novato city, California","53,100","52,904","52,184"
769,"Battle Creek city, Michigan","52,651","52,462","52,123"
770,"West New York town, New Jersey","52,544","52,431","51,981"
771,"Placentia city, California","51,723","51,236","51,951"
772,"Paramount city, California","53,578","52,485","51,653"
773,"Summerville town, South Carolina","51,084","51,337","51,617"
774,"Collierville town, Tennessee","51,411","51,529","51,594"
775,"Palm Desert city, California","51,200","51,591","51,583"
776,"Watsonville city, California","52,506","52,017","51,525"
777,"Florissant city, Missouri","52,441","52,041","51,506"
778,"Rockwall city, Texas","47,734","49,753","51,461"
779,"La Crosse city, Wisconsin","52,665","51,002","51,380"
780,"Columbus city, Indiana","50,496","50,792","51,268"
781,"Middletown city, Ohio","51,031","51,080","51,229"
782,"Grapevine city, Texas","50,765","50,911","51,226"
783,"Aliso Viejo city, California","52,205","51,901","51,221"
784,"Harrisonburg city, Virginia","51,706","51,526","51,158"
785,"Wake Forest town, North Carolina","48,249","49,899","51,113"
786,"Jeffersonville city, Indiana","49,563","50,397","51,030"
787,"Mishawaka city, Indiana","51,044","50,994","50,913"
788,"Troy city, New York","51,337","51,216","50,895"
789,"Delano city, California","49,852","50,668","50,843"
790,"Glendora city, California","52,497","51,592","50,824"
791,"Burien city, Washington","51,985","51,201","50,806"
792,"Newark city, Ohio","50,003","50,324","50,763"
793,"Draper city, Utah","51,024","51,381","50,731"
794,"Hoffman Estates village, Illinois","52,402","51,478","50,682"
795,"Cuyahoga Falls city, Ohio","51,050","50,863","50,655"
796,"Enid city, Oklahoma","51,169","50,546","50,499"
797,"Milford city (balance), Connecticut","50,467","50,486","50,471"
798,"Harrisburg city, Pennsylvania","50,092","50,236","50,183"
799,"Rosemead city, California","51,082","50,221","49,791"
800,"Lakewood city, Ohio","50,809","50,250","49,658"
801,"Covina city, California","51,173","50,370","49,489"
802,"Murray city, Utah","50,520","49,734","49,463"
803,"Downers Grove village, Illinois","50,126","49,742","49,354"
804,"Cypress city, California","50,171","49,858","49,243"
805,"St. Louis Park city, Minnesota","50,021","49,244","48,827"
806,"Azusa city, California","50,154","49,289","48,824"
"Note: The estimates are based on the 2020 Census and reflect changes to the April 1, 2020 population due to the Count Question Resolution program, geographic program revisions, and the application of disclosure avoidance to protect confidentiality. For population estimates methodology statements, see https://www.census.gov/programs-surveys/popest/technical-documentation/methodology.html. All geographic boundaries for the 2022 population estimates series are as of January 1, 2022. For updates on Legal Boundary Change/Annexation Data, see https://www.census.gov/geographies/reference-files/time-series/geo/bas/annex.html. Additional information on these localities can be found in the Geographic Boundary Change Notes (see https://www.census.gov/programs-surveys/geography/technical-documentation/boundary-change-notes.html). ",,,,
Suggested Citation:,,,,
"Annual Estimates of the Resident Population for Incorporated Places of 50,000 or More, Ranked by July 1, 2022 Population: April 1, 2020 to July 1, 2022 (SUB-IP-EST2022-ANNRNK)",,,,
"Source: U.S. Census Bureau, Population Division",,,,
Release Date: May 2023,,,,